FIPS,name,st,cnty,T1_est5,T1_est6,T1_est8,T1_est9,T1_est12,T1_est13,T1_est15,T1_est16,T1_est33,T1_est34,T1_est36,T1_est37,T1_est41,T1_est42,T1_est44,T1_est45,T1_est48,T1_est49,T1_est51,T1_est52,T1_est69,T1_est70,T1_est72,T1_est73,T1_est78,T1_est79,T1_est81,T1_est82,T1_est85,T1_est86,T1_est88,T1_est89,T1_est106,T1_est107,T1_est109,T1_est110,T1_est114,T1_est115,T1_est117,T1_est118,T1_est121,T1_est122,T1_est124,T1_est125,T1_est142,T1_est143,T1_est145,T1_est146
1001,"Autauga County, Alabama",1,1,745,285,0,0,465,215,0,0,265,85,0,0,405,25,0,0,750,145,0,0,7855,940,20,0,235,235,0,0,160,215,0,0,120,0,0,0,115,150,0,0,310,105,0,0,1345,485,0,0
1003,"Baldwin County, Alabama",1,3,3460,650,110,0,2110,195,4,0,1840,65,0,0,1410,355,10,0,3280,175,4,0,32255,880,50,0,2000,625,25,0,1610,325,0,0,210,0,0,0,570,210,0,0,975,330,0,0,4570,295,0,0
1005,"Barbour County, Alabama",1,5,135,160,0,0,115,135,0,0,80,170,0,0,55,95,0,0,235,230,4,0,1950,680,0,0,65,465,0,0,125,250,0,0,10,45,0,0,170,355,0,0,135,155,0,0,355,155,0,0
1007,"Bibb County, Alabama",1,7,380,155,0,0,165,50,0,0,65,0,0,0,125,30,0,0,405,160,0,0,2070,80,0,0,135,360,0,0,70,40,0,0,4,0,0,0,165,35,0,0,95,40,0,0,245,35,0,0
1009,"Blount County, Alabama",1,9,1000,20,0,0,495,0,0,0,100,0,0,0,515,4,0,0,1665,25,0,0,7000,20,15,0,775,0,10,0,430,0,0,0,4,4,0,0,545,4,0,0,335,0,0,0,405,0,0,0
1011,"Bullock County, Alabama",1,11,10,90,0,0,30,95,0,0,20,0,0,0,0,250,0,0,0,130,0,0,530,500,0,0,0,170,0,0,10,280,0,0,0,0,0,0,0,110,0,0,10,75,0,0,60,25,0,0
1013,"Butler County, Alabama",1,13,75,40,0,0,95,215,0,0,10,10,0,0,50,70,0,0,225,70,0,0,1840,790,0,0,50,170,0,0,85,230,0,0,0,20,0,0,50,160,0,0,45,105,0,0,210,150,0,0
1015,"Calhoun County, Alabama",1,15,1505,470,0,0,665,135,0,0,515,145,0,4,510,205,15,0,1790,435,35,0,13855,2115,10,0,885,1215,10,0,670,555,15,0,90,55,0,0,560,540,0,0,540,230,0,0,1905,1155,10,0
1017,"Chambers County, Alabama",1,17,320,100,0,0,225,330,0,0,195,75,0,0,50,40,0,0,325,185,0,0,3225,1180,0,0,130,230,0,0,325,195,0,0,30,295,0,0,90,75,0,0,95,55,0,0,760,435,0,0
1019,"Cherokee County, Alabama",1,19,445,0,0,0,350,10,0,0,105,0,0,0,135,0,0,0,415,100,0,0,3615,125,0,0,135,0,0,0,305,10,0,0,0,0,0,0,210,30,0,0,95,0,0,0,425,85,0,0
1021,"Chilton County, Alabama",1,21,520,50,0,0,415,55,0,0,70,0,0,0,330,4,0,0,545,125,0,0,6480,335,0,0,315,40,0,0,290,25,0,0,30,120,0,0,235,80,0,0,105,50,0,0,970,210,0,0
1023,"Choctaw County, Alabama",1,23,125,220,0,0,40,155,0,0,90,25,0,0,140,75,0,0,260,140,0,0,1410,595,0,0,45,85,0,0,15,20,4,0,0,0,0,0,100,90,0,0,10,30,0,0,90,75,0,0
1025,"Clarke County, Alabama",1,25,260,210,0,0,165,155,0,0,40,55,0,0,90,145,0,0,110,150,0,0,2285,840,10,0,125,185,0,0,55,35,0,0,0,60,0,0,70,285,0,0,45,150,0,0,385,210,0,0
1027,"Clay County, Alabama",1,27,300,10,0,0,85,10,0,0,25,0,0,0,90,90,0,0,205,35,0,0,2035,215,0,0,105,120,0,0,75,40,0,0,0,0,0,0,60,85,0,0,85,20,0,0,120,60,0,0
1029,"Cleburne County, Alabama",1,29,130,15,0,0,170,0,0,0,120,0,0,0,95,0,0,0,200,0,0,0,2320,10,4,0,95,0,0,0,65,0,0,0,15,0,0,0,245,20,0,0,55,40,0,0,255,0,0,0
1031,"Coffee County, Alabama",1,31,440,100,15,0,380,65,20,0,185,45,0,0,350,65,20,0,635,155,4,0,6715,715,70,0,510,490,0,0,255,165,0,0,65,0,0,0,155,210,4,0,180,105,0,0,1290,255,20,0
1033,"Colbert County, Alabama",1,33,685,255,0,0,440,45,0,0,325,0,0,0,220,130,0,0,575,160,0,0,8135,975,70,0,600,430,0,0,470,215,0,0,45,0,0,0,205,290,0,0,190,60,0,0,1040,125,0,0
1035,"Conecuh County, Alabama",1,35,65,70,0,0,45,40,0,0,25,10,0,0,50,50,0,0,260,70,10,0,1000,495,10,0,25,90,0,0,4,15,0,0,15,0,0,0,20,45,0,0,45,55,0,0,40,55,0,0
1037,"Coosa County, Alabama",1,37,60,0,0,0,50,75,0,0,65,10,0,0,20,20,0,0,75,55,0,0,1315,350,15,0,10,20,10,0,25,90,0,0,15,0,0,0,40,35,0,0,55,25,0,0,150,10,0,0
1039,"Covington County, Alabama",1,39,590,40,0,0,295,30,0,0,195,0,0,0,230,85,0,0,650,35,0,0,5240,370,10,0,405,210,0,0,385,80,0,0,90,0,0,0,405,100,0,0,155,35,0,0,480,110,0,0
1041,"Crenshaw County, Alabama",1,41,205,75,0,0,100,55,0,0,40,4,0,0,80,105,0,0,160,95,0,0,1355,135,10,0,35,170,0,0,65,10,0,0,10,4,0,0,45,50,0,0,50,50,0,0,205,135,4,0
1043,"Cullman County, Alabama",1,43,1130,20,0,10,685,10,0,0,495,4,0,0,520,4,0,0,1020,15,0,0,12780,105,60,0,990,4,0,0,945,0,0,0,170,0,0,0,410,0,0,0,430,10,0,0,2420,4,0,0
1045,"Dale County, Alabama",1,45,410,85,0,0,215,100,0,0,90,25,10,0,280,35,0,0,520,185,0,0,5675,725,50,0,505,395,85,0,490,545,0,10,30,30,0,0,415,120,10,0,255,55,0,0,1540,500,15,0
1047,"Dallas County, Alabama",1,47,135,330,0,0,75,370,0,0,85,85,0,0,90,130,4,0,120,740,15,0,2280,2210,4,0,175,960,0,0,4,935,0,0,15,35,0,0,25,700,0,0,110,285,0,0,265,635,0,0
1049,"DeKalb County, Alabama",1,49,865,0,25,0,650,10,0,0,185,40,0,0,365,10,0,0,905,20,0,0,8975,50,65,4,730,4,4,0,610,55,4,0,65,0,0,0,355,0,4,0,660,10,0,0,1245,45,10,0
1051,"Elmore County, Alabama",1,51,675,350,4,0,555,160,0,0,475,100,0,0,300,35,0,0,645,230,15,0,13985,1625,85,0,435,475,0,0,615,620,0,0,195,0,0,0,75,50,0,0,95,195,0,0,1440,580,20,0
1053,"Escambia County, Alabama",1,53,265,180,4,0,325,70,0,0,45,0,0,0,220,125,20,0,465,40,0,0,3115,710,295,0,260,540,10,0,85,165,4,0,15,0,0,0,290,385,20,0,80,60,40,0,470,345,20,0
1055,"Etowah County, Alabama",1,55,885,165,0,4,590,155,0,0,495,55,0,0,555,85,0,0,1660,230,35,0,14060,1230,20,0,960,735,0,0,830,290,4,0,115,30,0,0,490,275,0,0,445,90,0,0,1955,485,0,0
1057,"Fayette County, Alabama",1,57,215,20,0,0,130,25,0,0,35,0,0,0,245,4,0,0,315,15,0,0,2360,100,0,0,215,140,0,0,85,30,0,0,0,0,0,0,60,20,0,0,95,25,0,0,245,80,0,0
1059,"Franklin County, Alabama",1,59,345,60,0,0,145,10,0,0,115,0,0,0,160,0,0,0,690,30,0,0,3660,145,4,0,190,80,0,0,275,105,0,0,45,0,0,0,120,0,0,0,260,0,0,0,580,115,20,0
