,stname,name,fips,"Net Migration Rate 2010s, total, ages 00-04","Net Migration Rate 2010s, total, ages 05-09","Net Migration Rate 2010s, total, ages 10-14","Net Migration Rate 2010s, total, ages 15-19","Net Migration Rate 2010s, total, ages 20-24","Net Migration Rate 2010s, total, ages 25-29","Net Migration Rate 2010s, total, ages 30-34","Net Migration Rate 2010s, total, ages 35-39","Net Migration Rate 2010s, total, ages 40-44","Net Migration Rate 2010s, total, ages 45-49","Net Migration Rate 2010s, total, ages 50-54","Net Migration Rate 2010s, total, ages 55-59","Net Migration Rate 2010s, total, ages 60-64","Net Migration Rate 2010s, total, ages 65-69","Net Migration Rate 2010s, total, ages 70-74","Net Migration Rate 2010s, total, ages 75-79","Net Migrants 2010s, total, ages 00-04","Net Migrants 2010s, total, ages 05-09","Net Migrants 2010s, total, ages 10-14","Net Migrants 2010s, total, ages 15-19","Net Migrants 2010s, total, ages 20-24","Net Migrants 2010s, total, ages 25-29","Net Migrants 2010s, total, ages 30-34","Net Migrants 2010s, total, ages 35-39","Net Migrants 2010s, total, ages 40-44","Net Migrants 2010s, total, ages 45-49","Net Migrants 2010s, total, ages 50-54","Net Migrants 2010s, total, ages 55-59","Net Migrants 2010s, total, ages 60-64","Net Migrants 2010s, total, ages 65-69","Net Migrants 2010s, total, ages 70-74","Net Migrants 2010s, total, ages 75-79","Expected Population 2020, total, ages 00-04","Expected Population 2020, total, ages 05-09","Expected Population 2020, total, ages 10-14","Expected Population 2020, total, ages 15-19","Expected Population 2020, total, ages 20-24","Expected Population 2020, total, ages 25-29","Expected Population 2020, total, ages 30-34","Expected Population 2020, total, ages 35-39","Expected Population 2020, total, ages 40-44","Expected Population 2020, total, ages 45-49","Expected Population 2020, total, ages 50-54","Expected Population 2020, total, ages 55-59","Expected Population 2020, total, ages 60-64","Expected Population 2020, total, ages 65-69","Expected Population 2020, total, ages 70-74","Expected Population 2020, total, ages 75-79",fips_county
110,Alabama,autauga,1001,4.85,17.91,10.35,-2.57,-21.92,-6.69,25.64,26.99,15.29,-0.16,-1.58,0.82,3.16,10.41,12.57,12.22,159,549,387,-104,-936,-279,770,838,503,-6,-62,34,110,274,274,198.0,3283.84,3064.29,3743.67,4067.44,4272.33,4163.71,3001.48,3105.82,3292.68,4038.35,3939.11,4085.46,3483.0,2628.37,2183.59,1620.94,10autauga
120,Alabama,baldwin,1003,5.34,23.38,27.22,19.38,-1.89,10.39,41.56,37.36,33.71,30.88,29.58,33.12,39.73,45.0,42.61,21.33,611,2529,3174,2289,-224,1169,3824,3773,3554,3473,3401,4178,4831,4852,4123,1640.0,11434.82,10816.64,11662.61,11809.72,11867.73,11254.07,9202.71,10099.24,10544.55,11246.33,11495.96,12612.46,12158.07,10783.76,9674.46,7689.06,10baldwin
132,Alabama,barbour,1005,-2.33,-4.88,-10.16,-9.85,-4.21,4.21,-7.29,-22.25,-16.98,-11.15,-13.09,-14.09,-9.58,0.06,-1.55,2.71,-32,-71,-182,-165,-66,70,-130,-455,-308,-200,-228,-282,-165,1,-22,26.0,1363.73,1448.76,1793.25,1670.53,1577.4,1661.09,1780.8,2047.48,1811.56,1791.88,1740.89,2003.35,1719.75,1536.1,1445.48,943.48,10barbour
201,Alabama,bibb,1007,-4.47,-4.68,-12.58,-12.82,-6.61,11.23,10.56,-5.54,-13.72,-5.74,-2.57,-6.86,-2.72,2.69,2.42,9.13,-57,-58,-181,-183,-94,167,152,-89,-224,-99,-40,-115,-38,31,25,59.0,1274.93,1246.3,1440.22,1429.27,1427.37,1491.57,1442.59,1609.06,1633.01,1719.7,1546.77,1675.91,1412.47,1136.45,1023.28,643.26,10bibb
222,Alabama,blount,1009,3.22,6.22,6.1,-2.68,-18.79,-9.07,14.68,5.07,6.78,4.23,3.7,6.25,8.18,8.29,9.22,0.95,108,213,230,-106,-764,-354,442,171,229,158,142,243,284,258,260,20.0,3346.14,3415.48,3776.69,3945.67,4063.66,3899.81,3011.78,3379.66,3374.11,3741.86,3829.15,3884.37,3472.96,3117.66,2815.41,2099.01,10blount
310,Alabama,bullock,1011,-8.19,-10.22,-15.97,-2.84,-9.45,7.24,6.64,-11.2,-4.94,-5.2,-8.64,-13.91,-7.04,-8.94,-12.39,-7.53,-52,-69,-125,-16,-62,50,47,-94,-36,-36,-54,-111,-56,-59,-62,-24.0,631.76,673.89,781.86,577.38,660.44,690.01,707.03,843.42,733.2,697.29,629.37,800.33,789.58,663.27,497.65,323.35,10bullock
328,Alabama,butler,1013,-6.18,-7.3,-10.25,-15.59,-23.64,-19.21,-7.27,-7.97,-2.71,0.2,-3.19,-3.17,0.93,-0.24,-7.06,-4.96,-70,-91,-148,-214,-341,-257,-83,-101,-33,2,-37,-42,13,-3,-72,-36.0,1125.54,1244.9,1440.75,1370.75,1443.25,1335.53,1145.22,1273.46,1204.64,1112.73,1147.63,1318.8,1359.42,1261.02,1020.03,725.99,10butler
353,Alabama,calhoun,1015,-3.8,-2.15,-3.27,14.95,8.85,-9.12,-18.02,-7.49,-1.26,-1.19,1.99,3.17,3.43,4.47,3.48,0.57,-253,-143,-247,1145,678,-758,-1590,-562,-89,-82,138,240,261,296,190,21.0,6656.9,6616.54,7548.05,7659.87,7663.7,8306.55,8826.27,7498.64,7039.6,6930.42,6929.08,7585.64,7595.31,6627.62,5452.38,3720.63,10calhoun
444,Alabama,chambers,1017,-1.28,0.47,2.45,-4.82,-10.74,6.6,7.66,0.01,4.46,6.63,7.43,14.01,9.05,10.2,3.93,8.31,-24,9,50,-100,-238,146,144,0,83,136,161,312,209,207,72,104.0,1889.12,1995.52,2049.8,2075.99,2211.53,2213.97,1881.0,1871.88,1866.66,2058.61,2167.03,2227.93,2306.36,2029.86,1822.39,1246.39,10chambers
475,Alabama,cherokee,1019,-1.4,6.17,-1.24,-9.13,-19.24,-10.78,3.49,0.76,2.87,4.8,5.85,12.64,13.76,14.36,8.61,-7.04,-16,72,-18,-142,-312,-174,42,9,37,76,96,216,253,228,136,-84.0,1149.11,1161.3,1449.98,1550.6,1619.62,1618.4,1216.5,1169.13,1291.96,1575.4,1633.45,1705.48,1835.48,1586.25,1579.11,1196.21,10cherokee
