Query,Best Match
10autauga,10autauga
10baldwin,10baldwin
10barbour,10barbour
10bibb,10bibb
10blount,10blount
10bullock,10bullock
10butler,10butler
10calhoun,10calhoun
10chambers,10chambers
10cherokee,10cherokee
10chilton,10chilton
10choctaw,10choctaw
10clarke,10clarke
10clay,10clay
10cleburne,10cleburne
10coffee,10coffee
10colbert,10colbert
10conecuh,10conecuh
10coosa,10coosa
10covington,10covington
10crenshaw,10crenshaw
10cullman,10cullman
10dale,10dale
10dallas,10dallas
10dekalb,10dekalb
10elmore,10elmore
10escambia,10escambia
10etowah,10etowah
10fayette,10fayette
10franklin,10franklin
10geneva,10geneva
10greene,10greene
10hale,10hale
10henry,10henry
10houston,10houston
10jackson,10jackson
10jefferson,10jefferson
10kent,10kent
10lamar,10lamar
10lauderdale,10lauderdale
10lawrence,10lawrence
10lee,10lee
10limestone,10limestone
10lowndes,10lowndes
10macon,10macon
10madison,10madison
10marengo,10marengo
10marion,10marion
10marshall,10marshall
10mobile,10mobile
10monroe,10monroe
10new castle,10new
10sussex,10sussex
11district of columbia ,11district
11montgomery,11montgomery
11morgan,11morgan
11perry,11perry
11pickens,11pickens
11pike,11pike
11randolph,11randolph
11russell,11russell
11shelby,11shelby
11st. clair,11st.
11sumter,11sumter
11talladega,11talladega
11tallapoosa,11tallapoosa
11tuscaloosa,11tuscaloosa
11walker,11walker
11washington,11washington
11wilcox,11wilcox
11winston,11winston
12alachua,12alachua
12baker,12baker
12bay,12bay
12bradford,12bradford
12brevard,12brevard
12broward,12broward
12calhoun,12calhoun
12charlotte,12charlotte
12citrus,12citrus
12clay,12clay
12collier,12collier
12columbia,12columbia
12desoto,12desoto
12dixie,12dixie
12duval,12duval
12escambia,12escambia
12flagler,12flagler
12franklin,12franklin
12gadsden,12gadsden
12gilchrist,12gilchrist
12glades,12glades
12gulf,12gulf
12hamilton,12hamilton
12hardee,12hardee
12hendry,12hendry
12hernando,12hernando
12highlands,12highlands
12hillsborough,12hillsborough
12holmes,12holmes
12indian river,12indian
12jackson,12jackson
12jefferson,12jefferson
12lafayette,12lafayette
12lake,12lake
12lee,12lee
12leon,12leon
12levy,12levy
12liberty,12liberty
12madison,12madison
12manatee,12manatee
12marion,12marion
12martin,12martin
12miami-dade,12miami-dade
12monroe,12monroe
12nassau,12nassau
12okaloosa,12okaloosa
12okeechobee,12okeechobee
12orange,12orange
12osceola,12osceola
12palm beach,12palm
12pasco,12pasco
12pinellas,12pinellas
12polk,12polk
12putnam,12putnam
12santa rosa,12santa
12sarasota,12sarasota
12seminole,12seminole
12st. johns,12st.
12st. lucie,12st.
12sumter,12sumter
12suwannee,12suwannee
12taylor,12taylor
12union,12union
12volusia,12volusia
12wakulla,12wakulla
12walton,12walton
12washington,12washington
13appling,13appling
13atkinson,13atkinson
13bacon,13bacon
13baker,13baker
13baldwin,13baldwin
13banks,13banks
13barrow,13barrow
13bartow,13bartow
13ben hill,13ben
13berrien,13berrien
13bibb,13bibb
13bleckley,13bleckley
13brantley,13brantley
13brooks,13brooks
13bryan,13bryan
13bulloch,13bulloch
13burke,13burke
13butts,13butts
13calhoun,13calhoun
13camden,13camden
13candler,13candler
13carroll,13carroll
13catoosa,13catoosa
13charlton,13charlton
13chatham,13chatham
13chattahoochee,13chattahoochee
13chattooga,13chattooga
13cherokee,13cherokee
13clarke,13clarke
13clay,13clay
13clayton,13clayton
13clinch,13clinch
13cobb,13cobb
13coffee,13coffee
13colquitt,13colquitt
13columbia,13columbia
13cook,13cook
13coweta,13coweta
13crawford,13crawford
13crisp,13crisp
13dade,13dade
13dawson,13dawson
13decatur,13decatur
13dekalb,13dekalb
13dodge,13dodge
13dooly,13dooly
13dougherty,13dougherty
13douglas,13douglas
13early,13early
13echols,13echols
13effingham,13effingham
13elbert,13elbert
13emanuel,13emanuel
13evans,13evans
13fannin,13fannin
13fayette,13fayette
13floyd,13floyd
13forsyth,13forsyth
13franklin,13franklin
13fulton,13fulton
13gilmer,13gilmer
13glascock,13glascock
13glynn,13glynn
13gordon,13gordon
13grady,13grady
13greene,13greene
13gwinnett,13gwinnett
13habersham,13habersham
13hall,13hall
13hancock,13hancock
13haralson,13haralson
13harris,13harris
13hart,13hart
13heard,13heard
13henry,13henry
13houston,13houston
13irwin,13irwin
13jackson,13jackson
13jasper,13jasper
13jeff davis,13jeff
13jefferson,13jefferson
13jenkins,13jenkins
13johnson,13johnson
13jones,13jones
13lamar,13lamar
13lanier,13lanier
13laurens,13laurens
13lee,13lee
13liberty,13liberty
13lincoln,13lincoln
13long,13long
13lowndes,13lowndes
13lumpkin,13lumpkin
13macon,13macon
13madison,13madison
13marion,13marion
13mcduffie,13mcduffie
13mcintosh,13mcintosh
13meriwether,13meriwether
13miller,13miller
13mitchell,13mitchell
13monroe,13monroe
13montgomery,13montgomery
13morgan,13morgan
13murray,13murray
13muscogee,13muscogee
13newton,13newton
13oconee,13oconee
13oglethorpe,13oglethorpe
13paulding,13paulding
13peach,13peach
13pickens,13pickens
13pierce,13pierce
13pike,13pike
13polk,13polk
13pulaski,13pulaski
13putnam,13putnam
13quitman,13quitman
13rabun,13rabun
13randolph,13randolph
13richmond,13richmond
13rockdale,13rockdale
13schley,13schley
13screven,13screven
13seminole,13seminole
13spalding,13spalding
13stephens,13stephens
13stewart,13stewart
13sumter,13sumter
13talbot,13talbot
13taliaferro,13taliaferro
13tattnall,13tattnall
13taylor,13taylor
13telfair,13telfair
13terrell,13terrell
13thomas,13thomas
13tift,13tift
13toombs,13toombs
13towns,13towns
13treutlen,13treutlen
13troup,13troup
13turner,13turner
13twiggs,13twiggs
13union,13union
13upson,13upson
13walker,13walker
13walton,13walton
13ware,13ware
13warren,13warren
13washington,13washington
13wayne,13wayne
13webster,13webster
13wheeler,13wheeler
13white,13white
13whitfield,13whitfield
13wilcox,13wilcox
13wilkes,13wilkes
13wilkinson,13wilkinson
13worth,13worth
15hawaiʻi,15hawaii
15honolulu,15honolulu
15kalawao ,15kalawao
15kauaʻi,15kauai
15maui,15maui
16ada,16ada
16adams,16adams
16bannock,16bannock
16bear lake,16bear
16benewah,16benewah
16bingham,16bingham
16blaine,16blaine
16boise,16boise
16bonner,16bonner
16bonneville,16bonneville
16boundary,16boundary
16butte,16butte
16camas,16camas
16canyon,16canyon
16caribou,16caribou
16cassia,16cassia
16clark,16clark
16clearwater,16clearwater
16custer,16custer
16elmore,16elmore
16franklin,16franklin
16fremont,16fremont
16gem,16gem
16gooding,16gooding
16idaho,16idaho
16jefferson,16jefferson
