iter	RMSE
0	85.38793338
1	82.63398361
2	80.06309115
3	77.52699228
4	75.00379551
5	72.48723383
6	69.96437878
7	67.78571614
8	65.54936432
9	63.44348422
10	61.3942829
11	59.54357694
12	57.63641805
13	55.88814147
14	54.20480212
15	52.64462984
16	51.17943344
17	49.90668792
18	48.58022285
19	47.28133292
20	45.96172913
21	44.63097704
22	43.46717267
23	42.39856175
24	41.30604205
25	40.35437432
26	39.53213475
27	38.67075504
28	37.79367231
29	36.92703367
30	36.12817497
31	35.35623125
32	34.63498591
33	33.98710949
34	33.36801994
35	32.70702091
36	32.15073481
37	31.65712088
38	31.08227802
39	30.56511083
40	30.06876854
41	29.61711237
42	29.22603806
43	28.82083646
44	28.42637423
45	28.02360633
46	27.70780309
47	27.3053934
48	26.95143614
49	26.6283151
50	26.29399596
51	26.0543626
52	25.78063113
53	25.56021865
54	25.23471783
55	25.05296855
56	24.85289226
57	24.62160068
58	24.3769459
59	24.18654257
60	23.94161229
61	23.72169459
62	23.54301145
63	23.3665428
64	23.20576541
65	23.07312599
66	22.91245181
67	22.76154463
68	22.59066232
69	22.47681233
70	22.35342188
71	22.24565851
72	22.12092297
73	22.0118352
74	21.91249986
75	21.75425374
76	21.63896851
77	21.55044121
78	21.48467029
79	21.36409682
80	21.28252111
81	21.15083662
82	21.07118677
83	21.0007548
84	20.90817325
85	20.80824217
86	20.73527979
87	20.66807659
88	20.60645505
89	20.54339841
90	20.47826541
91	20.40369055
92	20.34197725
93	20.2842856
94	20.19495955
95	20.14755518
96	20.02813515
97	19.92678666
98	19.87059903
99	19.80702722
100	19.75507529
101	19.6865996
102	19.65215216
103	19.52501308
104	19.4650148
105	19.41584219
106	19.3587611
107	19.2976258
108	19.24548969
109	19.20344992
110	19.13896553
111	19.09930644
112	19.01593145
113	18.97178356
114	18.92650066
115	18.80844282
116	18.73362269
117	18.68619272
118	18.63726703
119	18.5773166
120	18.56356304
121	18.49328697
122	18.45492097
123	18.42005142
124	18.3089051
125	18.24936061
126	18.14438679
127	18.09347332
128	18.07291479
129	18.03424635
130	18.01548043
131	17.9849542
132	17.97469496
133	17.93826992
134	17.92580714
135	17.90190281
136	17.8844831
137	17.85215787
138	17.84110329
139	17.80179108
140	17.74913835
141	17.67998245
142	17.65396666
143	17.62178041
144	17.58263896
145	17.53984646
146	17.52894955
147	17.50826424
148	17.49929097
149	17.43085282
150	17.37551169
151	17.30565835
152	17.26064587
153	17.22986173
154	17.22090326
155	17.2145791
156	17.19934786
157	17.12492679
158	17.05849803
159	17.03675089
160	17.02417631
161	16.98505566
162	16.96791145
163	16.90224341
164	16.85675801
165	16.76611172
166	16.74159534
167	16.72944266
168	16.69580612
169	16.68662499
170	16.67717668
171	16.66797374
172	16.57940331
173	16.57015814
174	16.56212342
175	16.5355426
176	16.52759885
177	16.5055464
178	16.49492711
179	16.45542633
180	16.42543974
181	16.39502278
182	16.38712802
183	16.2850051
184	16.27330808
185	16.2623689
186	16.18246678
187	16.10802563
188	16.05283194
189	16.03517755
190	16.01460549
191	15.95430755
192	15.91103976
193	15.90167182
194	15.85387659
195	15.83095535
196	15.75159364
197	15.68030002
198	15.64904162
199	15.63101606
200	15.57999795
201	15.54369774
202	15.48686886
203	15.43681064
204	15.41086886
205	15.40503536
206	15.32611488
207	15.31942938
208	15.29818964
209	15.21151692
210	15.145855
211	15.0812725
212	15.07579402
213	15.05385915
214	15.04759114
215	14.97014048
216	14.95263025
217	14.94339264
218	14.8590287
219	14.84849737
220	14.84079565
221	14.80694958
222	14.7758645
223	14.76611635
224	14.70268244
225	14.64839999
226	14.59933516
227	14.56197786
228	14.55657977
229	14.52580118
230	14.51111411
231	14.50699162
232	14.46251222
233	14.39530552
234	14.35715276
235	14.35003345
236	14.34242707
237	14.31677204
238	14.23861019
239	14.15560319
240	14.14826718
241	14.10985349
242	14.03798239
243	13.98505608
244	13.94326927
245	13.88461374
246	13.81922731
247	13.77574208
