iter	Passed	Remaining
0	31	31313
1	61	30916
2	91	30456
3	123	30799
4	144	28811
5	165	27352
6	183	26054
7	199	24730
8	215	23736
9	237	23485
10	252	22733
11	268	22122
12	284	21587
13	298	21050
14	313	20588
15	327	20165
16	342	19830
17	356	19459
18	371	19173
19	386	18936
20	400	18693
21	415	18483
22	429	18257
23	443	18055
24	458	17874
25	473	17729
26	488	17613
27	503	17461
28	521	17466
29	536	17333
30	551	17236
31	567	17152
32	582	17056
33	597	16962
34	610	16843
35	624	16735
36	639	16635
37	654	16559
38	669	16494
39	684	16428
40	699	16367
41	714	16290
42	728	16215
43	743	16146
44	758	16093
45	773	16048
46	789	16009
47	806	15996
48	822	15961
49	839	15950
50	864	16077
51	882	16086
52	908	16229
53	934	16371
54	966	16611
55	994	16757
56	1022	16915
57	1039	16878
58	1055	16835
59	1070	16776
60	1085	16711
61	1107	16754
62	1130	16807
63	1150	16829
64	1170	16835
65	1190	16853
66	1212	16885
67	1230	16868
68	1249	16861
69	1282	17035
70	1311	17161
71	1333	17189
72	1362	17307
73	1382	17295
74	1398	17248
75	1421	17286
76	1441	17277
77	1461	17272
78	1479	17251
79	1504	17298
80	1520	17254
81	1537	17216
82	1553	17160
83	1568	17100
84	1583	17040
85	1597	16976
86	1611	16910
87	1625	16845
88	1639	16778
89	1653	16716
90	1668	16662
91	1682	16602
92	1696	16546
93	1710	16485
94	1724	16431
95	1739	16383
96	1754	16329
97	1768	16278
98	1782	16226
99	1796	16171
100	1810	16119
101	1826	16077
102	1840	16028
103	1862	16048
104	1879	16017
105	1893	15966
106	1907	15916
107	1921	15866
108	1934	15815
109	1955	15823
110	1970	15783
111	1984	15734
112	1998	15686
113	2012	15639
114	2026	15594
115	2040	15552
116	2055	15511
117	2070	15473
118	2084	15430
119	2098	15387
120	2112	15344
121	2126	15303
122	2140	15262
123	2155	15227
124	2171	15200
125	2186	15164
126	2208	15183
127	2226	15165
128	2245	15163
129	2266	15165
130	2283	15147
131	2302	15138
132	2321	15135
133	2342	15140
134	2361	15131
135	2388	15175
136	2416	15222
137	2444	15271
138	2468	15292
139	2499	15356
140	2530	15416
141	2565	15501
142	2585	15491
143	2611	15523
144	2630	15508
145	2649	15496
146	2666	15474
147	2685	15458
148	2703	15442
149	2727	15457
150	2753	15481
151	2790	15570
152	2841	15729
153	2869	15761
154	2892	15769
155	2925	15825
156	2954	15865
157	2976	15862
158	3009	15920
159	3028	15899
160	3048	15884
161	3064	15854
162	3085	15842
163	3123	15920
164	3143	15908
165	3160	15880
166	3174	15836
167	3188	15790
168	3204	15755
169	3228	15762
170	3243	15722
171	3257	15681
172	3272	15643
173	3286	15599
174	3300	15559
175	3316	15527
176	3333	15502
177	3350	15471
178	3366	15442
179	3382	15408
180	3398	15378
181	3413	15343
182	3436	15340
183	3461	15350
184	3490	15375
185	3520	15405
186	3542	15399
187	3564	15394
188	3588	15397
189	3613	15403
190	3635	15396
191	3653	15373
192	3669	15344
193	3687	15319
194	3705	15296
195	3722	15270
196	3740	15245
197	3755	15210
198	3770	15174
199	3785	15141
200	3801	15111
201	3817	15081
202	3835	15058
203	3852	15032
204	3871	15015
205	3888	14989
206	3909	14976
207	3929	14963
208	3951	14956
209	3975	14954
210	4001	14961
211	4025	14962
212	4045	14946
213	4061	14918
214	4076	14885
215	4091	14851
216	4105	14815
217	4120	14780
218	4138	14759
219	4158	14744
220	4181	14740
221	4200	14721
222	4221	14707
223	4237	14678
224	4256	14660
225	4272	14632
226	4290	14609
227	4305	14577
228	4318	14540
229	4333	14509
230	4349	14480
231	4364	14448
232	4379	14417
233	4395	14388
234	4410	14358
235	4432	14348
236	4473	14402
237	4498	14401
238	4525	14409
239	4548	14403
240	4578	14419
241	4596	14398
242	4613	14372
243	4629	14344
244	4653	14341
245	4674	14327
246	4689	14297
247	4706	14270
248	4722	14243
249	4737	14212
250	4754	14186
251	4769	14157
252	4788	14138
253	4817	14149
254	4843	14151
255	4872	14161
256	4892	14143
257	4912	14129
258	4947	14154
259	4976	14163
260	5006	14176
261	5027	14162
262	5056	14169
263	5078	14157
264	5105	14159
265	5128	14150
266	5153	14148
267	5170	14122
268	5188	14099
269	5204	14071
270	5219	14040
271	5233	14007
272	5247	13974
273	5262	13944
274	5277	13912
275	5293	13887
276	5309	13857
277	5332	13848
278	5347	13818
279	5362	13788
280	5376	13758
281	5392	13729
282	5406	13697
283	5420	13666
284	5436	13638
285	5453	13613
286	5468	13584
287	5482	13553
288	5496	13523
289	5516	13505
290	5530	13474
291	5544	13443
292	5559	13414
293	5573	13384
294	5588	13355
295	5602	13325
296	5617	13296
297	5631	13265
298	5645	13235
299	5659	13205
300	5674	13176
301	5688	13148
302	5703	13119
303	5717	13090
304	5733	13064
305	5748	13036
306	5762	13008
307	5778	12982
308	5793	12954
309	5808	12927
310	5825	12905
311	5841	12881
312	5859	12860
313	5873	12831
314	5887	12802
315	5901	12774
316	5916	12747
317	5930	12718
318	5945	12692
319	5961	12668
320	5975	12640
321	5989	12612
322	6003	12583
323	6018	12556
324	6032	12528
325	6047	12502
326	6062	12476
327	6076	12449
328	6092	12425
329	6107	12399
330	6122	12374
331	6137	12348
332	6151	12322
333	6168	12299
334	6183	12275
335	6198	12249
336	6214	12225
337	6229	12200
338	6243	12174
339	6259	12150
340	6274	12126
341	6289	12101
342	6305	12076
343	6318	12050
344	6334	12025
345	6348	11999
346	6364	11976
347	6381	11956
348	6398	11934
349	6414	11913
350	6429	11888
351	6446	11866
352	6460	11841
353	6476	11818
354	6490	11792
355	6505	11768
356	6520	11744
357	6535	11719
358	6550	11695
359	6565	11672
360	6580	11647
361	6596	11625
362	6610	11599
363	6625	11576
364	6639	11551
365	6654	11526
366	6669	11502
367	6683	11478
368	6697	11453
369	6712	11429
370	6726	11405
371	6741	11380
372	6755	11356
373	6770	11333
374	6789	11315
375	6803	11290
376	6817	11265
377	6831	11240
378	6846	11218
379	6861	11195
380	6877	11174
381	6892	11149
382	6906	11125
383	6921	11103
384	6937	11081
385	6952	11058
386	6966	11034
387	6981	11011
388	6996	10989
389	7011	10966
390	7025	10943
391	7040	10919
392	7054	10895
393	7073	10879
394	7087	10855
395	7102	10832
396	7133	10834
397	7229	10934
398	7253	10924
399	7290	10935
400	7351	10981
401	7391	10995
402	7436	11016
403	7465	11012
404	7578	11134
405	7615	11141
406	7661	11163
407	7697	11168
408	7737	11180
409	7788	11207
410	7812	11196
411	7837	11185
412	7861	11172
413	7882	11157
414	7918	11162
415	7956	11169
416	7974	11148
417	7991	11127
418	8022	11124
419	8046	11111
420	8067	11095
421	8086	11075
422	8102	11052
423	8124	11036
424	8139	11011
425	8153	10986
426	8175	10970
427	8196	10954
428	8213	10932
429	8230	10909
430	8248	10889
431	8262	10864
432	8278	10840
433	8293	10815
434	8308	10791
435	8328	10773
436	8346	10752
437	8364	10732
438	8380	10709
439	8395	10685
440	8419	10672
441	8440	10655
442	8456	10632
443	8480	10619
444	8500	10601
445	8515	10577
446	8530	10552
447	8543	10527
448	8558	10503
449	8574	10480
450	8589	10456
451	8604	10432
452	8622	10411
453	8639	10390
454	8655	10367
455	8674	10348
456	8693	10330
457	8717	10316
458	8740	10302
459	8766	10291
460	8788	10275
461	8804	10253
462	8822	10232
463	8839	10210
464	8855	10188
465	8871	10166
466	8889	10146
467	8908	10126
468	8925	10105
469	8950	10092
470	8972	10077
