,statecounty,allrace_cvd_mortality_per_100k_2018_2020,api_cvd_mortality_per_100k_2018_2020
0,02Aleutians East,182.4,
1,02Aleutians West,172.6,
2,02Anchorage,255.6,179.7
3,02Bethel,343.4,
4,02Bristol Bay,,
5,02Denali,218.6,
6,02Dillingham,363.3,
7,02Fairbanks North Star,283.5,218.1
8,02Haines,225.4,
9,02Hoonah-Angoon,211.5,
10,02Juneau,228.9,
11,02Kenai Peninsula,260.9,188.4
12,02Ketchikan Gateway,275.3,
13,02Kodiak Island,268.2,233.2
14,02Kusilvak,52.2,
15,02Lake and Peninsula,277.9,
16,02Matanuska-Susitna,223.2,181.2
17,02Nome,442.1,
18,02North Slope,278.8,
19,02Northwest Arctic,404.7,
20,02Petersburg,218.8,
21,02Prince of Wales-Hyder,279.5,
22,02Sitka,148.6,
23,02Skagway,,
24,02Southeast Fairbanks,290.3,
25,02Valdez-Cordova,273.8,179.9
26,02Wrangell,265.4,
27,02Yakutat,,
28,02Yukon-Koyukuk,273.4,
29,01Autauga County,401.0,
30,01Baldwin County,353.7,205.4
31,01Barbour County,575.2,
32,01Bibb County,503.7,107.2
33,01Blount County,463.6,104.7
34,01Bullock County,473.7,
35,01Butler County,425.9,
36,01Calhoun County,616.2,
37,01Chambers County,377.3,
38,01Cherokee County,421.9,
39,01Chilton County,481.5,
40,01Choctaw County,545.8,
41,01Clarke County,461.4,
42,01Clay County,516.2,
43,01Cleburne County,534.9,
44,01Coffee County,526.7,
45,01Colbert County,484.8,
46,01Conecuh County,480.3,
47,01Coosa County,453.2,
48,01Covington County,524.2,
49,01Crenshaw County,523.4,
50,01Cullman County,559.4,
51,01Dale County,427.8,
52,01Dallas County,638.5,
53,01DeKalb County,478.6,
54,01Elmore County,480.4,
55,01Escambia County,432.7,201.0
56,01Etowah County,528.0,
57,01Fayette County,432.2,
58,01Franklin County,501.8,
59,01Geneva County,432.1,
60,01Greene County,476.8,
61,01Hale County,476.3,
62,01Henry County,385.3,
63,01Houston County,374.9,
64,01Jackson County,548.8,191.7
65,01Jefferson County,383.5,106.4
66,01Lamar County,416.1,
67,01Lauderdale County,373.9,
68,01Lawrence County,468.9,
69,01Lee County,294.6,90.5
70,01Limestone County,462.9,181.2
71,01Lowndes County,468.2,
72,01Macon County,612.1,
73,01Madison County,404.6,190.0
74,01Marengo County,539.3,
75,01Marion County,494.4,
76,01Marshall County,461.8,214.8
77,01Mobile County,470.1,221.9
78,01Monroe County,396.1,
79,01Montgomery County,330.5,103.3
80,01Morgan County,491.4,185.1
81,01Perry County,526.2,
82,01Pickens County,491.0,
83,01Pike County,461.9,
84,01Randolph County,534.1,
85,01Russell County,347.0,214.6
86,01St. Clair County,400.4,81.6
87,01Shelby County,304.3,105.0
88,01Sumter County,457.5,
89,01Talladega County,522.7,
90,01Tallapoosa County,482.1,
91,01Tuscaloosa County,441.1,134.7
92,01Walker County,802.6,337.4
93,01Washington County,410.5,213.1
94,01Wilcox County,591.6,
95,01Winston County,466.3,
96,05Arkansas County,421.3,
97,05Ashley County,473.8,
98,05Baxter County,374.4,
99,05Benton County,335.5,237.6
100,05Boone County,522.8,
101,05Bradley County,534.2,
102,05Calhoun County,454.6,
103,05Carroll County,430.4,258.4
